id,dimensions_small,dimensions_large,steps,steps_to_keep,rule,bundle_size,n_trails,experiment_desc,neg_mean,neg_std,pos_mean,pos_std,timestamp
109,128,512,3,4,110,5,1000,concatenating previous CA expansion,0.5155760344692211,0.0248515216568187,0.694007421875,0.0231153733096796,2023-10-11 12:37:45.215152
110,128,512,3,4,111,5,1000,concatenating previous CA expansion,0.5714643765703518,0.0274031651351279,0.71849296875,0.0271399127690621,2023-10-11 12:38:23.474984
111,128,512,3,4,112,5,1000,concatenating previous CA expansion,0.5415648771199749,0.0385414914512147,0.704701953125,0.0365272968194109,2023-10-11 12:39:01.665526
112,128,512,3,4,113,5,1000,concatenating previous CA expansion,0.4998660882537688,0.0384768146245705,0.687678125,0.0374599437433361,2023-10-11 12:39:40.793558
113,128,512,3,4,114,5,1000,concatenating previous CA expansion,0.5113588508951005,0.0363319111631166,0.691716015625,0.0355433681112681,2023-10-11 12:40:19.606176
114,128,512,3,4,115,5,1000,concatenating previous CA expansion,0.5355024536746231,0.0337891541402061,0.70214453125,0.032755717004211,2023-10-11 12:40:58.329500
115,128,512,3,4,116,5,1000,concatenating previous CA expansion,0.5285451142430905,0.0362861387100668,0.699519921875,0.0342705501169176,2023-10-11 12:41:37.631344
116,128,512,3,4,117,5,1000,concatenating previous CA expansion,0.5198493149340452,0.0386420180529916,0.695769140625,0.0372578822026207,2023-10-11 12:42:16.621749
117,128,512,3,4,118,5,1000,concatenating previous CA expansion,0.5155737810144473,0.0284991500160075,0.693736328125,0.0273229658034524,2023-10-11 12:42:57.005218
118,128,512,3,4,119,5,1000,concatenating previous CA expansion,0.6144726189541457,0.0397110758381388,0.738313671875,0.0371323081091315,2023-10-11 12:43:35.989693
119,128,512,3,4,120,5,1000,concatenating previous CA expansion,0.4999205971262563,0.0270692551328218,0.687218359375,0.0252522224248924,2023-10-11 12:44:15.278162
120,128,512,3,4,121,5,1000,concatenating previous CA expansion,0.5462200671325377,0.0235406108341774,0.706823828125,0.022135940308987,2023-10-11 12:44:54.530626
121,128,512,3,4,122,5,1000,concatenating previous CA expansion,0.5328135599874372,0.0236608422065372,0.70100234375,0.0226937379913172,2023-10-11 12:45:33.984179
122,128,512,3,4,123,5,1000,concatenating previous CA expansion,0.5878923445351759,0.028936288274634,0.72653359375,0.0282655303234836,2023-10-11 12:46:13.537025
123,128,512,3,4,124,5,1000,concatenating previous CA expansion,0.5154708503454773,0.0248068390706209,0.6939765625,0.0233996882491252,2023-10-11 12:46:53.019140
124,128,512,3,4,125,5,1000,concatenating previous CA expansion,0.5710159076633166,0.0274096068395171,0.7189078125,0.0266386969610236,2023-10-11 12:47:32.856843
125,128,512,3,4,126,5,1000,concatenating previous CA expansion,0.5539212566739949,0.0282316462203863,0.711986328125,0.0258219841997371,2023-10-11 12:48:12.441109
126,128,512,3,4,127,5,1000,concatenating previous CA expansion,0.7304676448649497,0.0382761249161877,0.805370703125,0.0362981773381263,2023-10-11 12:48:53.896992
127,128,512,3,4,128,5,1000,concatenating previous CA expansion,0.830851374057789,0.0217816046378249,0.8813265625,0.0211565889236146,2023-10-11 12:49:33.523191
